trial;start_time;rt;correct;fact_id;question;context_1;context_2;answer;chosen_context;encounter_2;reading_time;fogetting_rate
120;2092780.0;1293.0;FALSE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.3
121;2095558.0;6383.0;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.3
122;2105834.0;inf;TRUE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.349609375
123;2123233.0;1861.0;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.349609375
124;2128556.0;1114.0;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.423828125
125;2131729.0;inf;TRUE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.39921874999999996
126;2136944.0;1409.0;TRUE;15;vriendschap;Deze <b>vriendschap</b> is erg belangrijk voor mij.;Een <b>vriendschap</b> moet onderhouden worden.;friendship;vriendschap;FALSE;836.6;0.20078125
127;2141467.0;inf;TRUE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.38749999999999996
128;2149173.0;1828.0;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.38125
129;2155534.0;1119.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.5476562500000001
130;2160000.0;3482.0;TRUE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.4488281249999999
131;2166469.0;inf;TRUE;9;begroeten;Wij <b>begroeten</b> elkaar altijd als we thuis komen.;Wat is de beste manier om een kennis te <b>begroeten</b>?;"greet;to greet";begroeten;FALSE;895.1;0.33281249999999996
132;2174193.0;1100.0;TRUE;20;spontaan;Ik vind het leuk om <b>spontaan</b> af te spreken.;Jij bent heel <b>spontaan</b>,dat is leuk.;spontaneous;spontaan;FALSE;817.1;0.3
133;2179003.0;1335.0;TRUE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.44843749999999993
134;2182598.0;648.0;TRUE;20;spontaan;Ik vind het leuk om <b>spontaan</b> af te spreken.;Jij bent heel <b>spontaan</b>,dat is leuk.;spontaneous;spontaan;FALSE;817.1;0.250390625
135;2186445.0;2318.0;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.43085937499999993
136;2192958.0;inf;TRUE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.4371093749999999
137;2199959.0;2843.0;TRUE;17;ongemakkelijk;Het was een beetje <b>ongemakkelijk</b> op de dansvloer.;Ik voel me <b>ongemakkelijk</b> bij dit gesprek.;awkward;ongemakkelijk;FALSE;934.1;0.271875
138;2205469.0;1019.0;TRUE;10;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.29960937500000007
139;2208629.0;inf;TRUE;14;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;"terrible;awful;horrible;dreadful";verschrikkelijk;FALSE;1090.1;0.37968749999999996
140;2217608.0;inf;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.4804687499999999
141;2232502.0;10858.0;TRUE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.4980468749999999
142;2245844.0;inf;FALSE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.43828124999999996
143;2252891.0;990.0;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.508203125
144;2256659.0;935.0;TRUE;18;vreugde;Het optreden bracht haar intense <b>vreugde</b>.;De <b>vreugde</b> van kinderen is aanstekelijk.;joy;vreugde;FALSE;778.1;0.4976562499999999
145;2259645.0;1232.0;TRUE;16;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;moed;FALSE;895.1;0.2503906250000001
146;2263124.0;4122.0;TRUE;13;beschrijven;Het is lastig om de smaak van een gerecht te <b>beschrijven</b>.;Kun je proberen je gevoelens te <b>beschrijven</b>?;"describe;to describe";beschrijven;FALSE;1090.1;0.398828125
147;2270400.0;2243.0;FALSE;19;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;onverschillig;FALSE;1012.1;0.5328125
148;2276575.0;2168.0;TRUE;14;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;"terrible;awful;horrible;dreadful";verschrikkelijk;FALSE;1090.1;0.33710937500000004
149;2281283.0;1628.0;TRUE;9;begroeten;Wij <b>begroeten</b> elkaar altijd als we thuis komen.;Wat is de beste manier om een kennis te <b>begroeten</b>?;"greet;to greet";begroeten;FALSE;895.1;0.332421875
150;2285968.0;1732.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.34882812500000004
